cloud,warehouse_type,warehouse_size,sku_product_type,dbu_per_hour,includes_compute
AWS,classic,2X-Large,SQL_COMPUTE,144.0,False
AWS,classic,2X-Small,SQL_COMPUTE,4.0,False
AWS,classic,3X-Large,SQL_COMPUTE,272.0,False
AWS,classic,4X-Large,SQL_COMPUTE,528.0,False
AWS,classic,Large,SQL_COMPUTE,40.0,False
AWS,classic,Medium,SQL_COMPUTE,24.0,False
AWS,classic,Small,SQL_COMPUTE,12.0,False
AWS,classic,X-Large,SQL_COMPUTE,80.0,False
AWS,classic,X-Small,SQL_COMPUTE,6.0,False
AWS,pro,2X-Large,SQL_PRO_COMPUTE,144.0,False
AWS,pro,2X-Small,SQL_PRO_COMPUTE,4.0,False
AWS,pro,3X-Large,SQL_PRO_COMPUTE,272.0,False
AWS,pro,4X-Large,SQL_PRO_COMPUTE,528.0,False
AWS,pro,Large,SQL_PRO_COMPUTE,40.0,False
AWS,pro,Medium,SQL_PRO_COMPUTE,24.0,False
AWS,pro,Small,SQL_PRO_COMPUTE,12.0,False
AWS,pro,X-Large,SQL_PRO_COMPUTE,80.0,False
AWS,pro,X-Small,SQL_PRO_COMPUTE,6.0,False
AWS,serverless,2X-Large,SERVERLESS_SQL_COMPUTE,144.0,True
AWS,serverless,2X-Small,SERVERLESS_SQL_COMPUTE,4.0,True
AWS,serverless,3X-Large,SERVERLESS_SQL_COMPUTE,272.0,True
AWS,serverless,4X-Large,SERVERLESS_SQL_COMPUTE,528.0,True
AWS,serverless,Large,SERVERLESS_SQL_COMPUTE,40.0,True
AWS,serverless,Medium,SERVERLESS_SQL_COMPUTE,24.0,True
AWS,serverless,Small,SERVERLESS_SQL_COMPUTE,12.0,True
AWS,serverless,X-Large,SERVERLESS_SQL_COMPUTE,80.0,True
AWS,serverless,X-Small,SERVERLESS_SQL_COMPUTE,6.0,True
AZURE,classic,2X-Large,SQL_COMPUTE,144.0,False
AZURE,classic,2X-Small,SQL_COMPUTE,4.0,False
AZURE,classic,3X-Large,SQL_COMPUTE,272.0,False
AZURE,classic,4X-Large,SQL_COMPUTE,528.0,False
AZURE,classic,Large,SQL_COMPUTE,40.0,False
AZURE,classic,Medium,SQL_COMPUTE,24.0,False
AZURE,classic,Small,SQL_COMPUTE,12.0,False
AZURE,classic,X-Large,SQL_COMPUTE,80.0,False
AZURE,classic,X-Small,SQL_COMPUTE,6.0,False
AZURE,pro,2X-Large,SQL_PRO_COMPUTE,144.0,False
AZURE,pro,2X-Small,SQL_PRO_COMPUTE,4.0,False
AZURE,pro,3X-Large,SQL_PRO_COMPUTE,272.0,False
AZURE,pro,4X-Large,SQL_PRO_COMPUTE,528.0,False
AZURE,pro,Large,SQL_PRO_COMPUTE,40.0,False
AZURE,pro,Medium,SQL_PRO_COMPUTE,24.0,False
AZURE,pro,Small,SQL_PRO_COMPUTE,12.0,False
AZURE,pro,X-Large,SQL_PRO_COMPUTE,80.0,False
AZURE,pro,X-Small,SQL_PRO_COMPUTE,6.0,False
AZURE,serverless,2X-Large,SERVERLESS_SQL_COMPUTE,144.0,True
AZURE,serverless,2X-Small,SERVERLESS_SQL_COMPUTE,4.0,True
AZURE,serverless,3X-Large,SERVERLESS_SQL_COMPUTE,272.0,True
AZURE,serverless,4X-Large,SERVERLESS_SQL_COMPUTE,528.0,True
AZURE,serverless,Large,SERVERLESS_SQL_COMPUTE,40.0,True
AZURE,serverless,Medium,SERVERLESS_SQL_COMPUTE,24.0,True
AZURE,serverless,Small,SERVERLESS_SQL_COMPUTE,12.0,True
AZURE,serverless,X-Large,SERVERLESS_SQL_COMPUTE,80.0,True
AZURE,serverless,X-Small,SERVERLESS_SQL_COMPUTE,6.0,True
GCP,classic,2X-Large,SQL_COMPUTE,144.0,False
GCP,classic,2X-Small,SQL_COMPUTE,4.0,False
GCP,classic,3X-Large,SQL_COMPUTE,272.0,False
GCP,classic,4X-Large,SQL_COMPUTE,528.0,False
GCP,classic,Large,SQL_COMPUTE,40.0,False
GCP,classic,Medium,SQL_COMPUTE,24.0,False
GCP,classic,Small,SQL_COMPUTE,12.0,False
GCP,classic,X-Large,SQL_COMPUTE,80.0,False
GCP,classic,X-Small,SQL_COMPUTE,6.0,False
GCP,pro,2X-Large,SQL_PRO_COMPUTE,144.0,False
GCP,pro,2X-Small,SQL_PRO_COMPUTE,4.0,False
GCP,pro,3X-Large,SQL_PRO_COMPUTE,272.0,False
GCP,pro,4X-Large,SQL_PRO_COMPUTE,528.0,False
GCP,pro,Large,SQL_PRO_COMPUTE,40.0,False
GCP,pro,Medium,SQL_PRO_COMPUTE,24.0,False
GCP,pro,Small,SQL_PRO_COMPUTE,12.0,False
GCP,pro,X-Large,SQL_PRO_COMPUTE,80.0,False
GCP,pro,X-Small,SQL_PRO_COMPUTE,6.0,False
GCP,serverless,2X-Large,SERVERLESS_SQL_COMPUTE,144.0,True
GCP,serverless,2X-Small,SERVERLESS_SQL_COMPUTE,4.0,True
GCP,serverless,3X-Large,SERVERLESS_SQL_COMPUTE,272.0,True
GCP,serverless,4X-Large,SERVERLESS_SQL_COMPUTE,528.0,True
GCP,serverless,Large,SERVERLESS_SQL_COMPUTE,40.0,True
GCP,serverless,Medium,SERVERLESS_SQL_COMPUTE,24.0,True
GCP,serverless,Small,SERVERLESS_SQL_COMPUTE,12.0,True
GCP,serverless,X-Large,SERVERLESS_SQL_COMPUTE,80.0,True
GCP,serverless,X-Small,SERVERLESS_SQL_COMPUTE,6.0,True
