cloud,warehouse_size,worker_count,driver_instance_type,worker_instance_type,warehouse_type
AWS,classic,64,i3.16xlarge,i3.2xlarge,2X-Large
AWS,classic,1,i3.2xlarge,i3.2xlarge,2X-Small
AWS,classic,128,i3.16xlarge,i3.2xlarge,3X-Large
AWS,classic,256,i3.16xlarge,i3.2xlarge,4X-Large
AWS,classic,16,i3.8xlarge,i3.2xlarge,Large
AWS,classic,8,i3.8xlarge,i3.2xlarge,Medium
AWS,classic,4,i3.4xlarge,i3.2xlarge,Small
AWS,classic,32,i3.16xlarge,i3.2xlarge,X-Large
AWS,classic,2,i3.2xlarge,i3.2xlarge,X-Small
AWS,pro,64,i3.16xlarge,i3.2xlarge,2X-Large
AWS,pro,1,i3.2xlarge,i3.2xlarge,2X-Small
AWS,pro,128,i3.16xlarge,i3.2xlarge,3X-Large
AWS,pro,256,i3.16xlarge,i3.2xlarge,4X-Large
AWS,pro,16,i3.8xlarge,i3.2xlarge,Large
AWS,pro,8,i3.8xlarge,i3.2xlarge,Medium
AWS,pro,4,i3.4xlarge,i3.2xlarge,Small
AWS,pro,32,i3.16xlarge,i3.2xlarge,X-Large
AWS,pro,2,i3.2xlarge,i3.2xlarge,X-Small
AZURE,classic,64,Standard_E64ds_v4,Standard_E8ds_v4,2X-Large
AZURE,classic,1,Standard_E8ds_v4,Standard_E8ds_v4,2X-Small
AZURE,classic,128,Standard_E64ds_v4,Standard_E8ds_v4,3X-Large
AZURE,classic,256,Standard_E64ds_v4,Standard_E8ds_v4,4X-Large
AZURE,classic,16,Standard_E32ds_v4,Standard_E8ds_v4,Large
AZURE,classic,8,Standard_E32ds_v4,Standard_E8ds_v4,Medium
AZURE,classic,4,Standard_E16ds_v4,Standard_E8ds_v4,Small
AZURE,classic,32,Standard_E64ds_v4,Standard_E8ds_v4,X-Large
AZURE,classic,2,Standard_E8ds_v4,Standard_E8ds_v4,X-Small
AZURE,pro,64,Standard_E64ds_v4,Standard_E8ds_v4,2X-Large
AZURE,pro,1,Standard_E8ds_v4,Standard_E8ds_v4,2X-Small
AZURE,pro,128,Standard_E64ds_v4,Standard_E8ds_v4,3X-Large
AZURE,pro,256,Standard_E64ds_v4,Standard_E8ds_v4,4X-Large
AZURE,pro,16,Standard_E32ds_v4,Standard_E8ds_v4,Large
AZURE,pro,8,Standard_E32ds_v4,Standard_E8ds_v4,Medium
AZURE,pro,4,Standard_E16ds_v4,Standard_E8ds_v4,Small
AZURE,pro,32,Standard_E64ds_v4,Standard_E8ds_v4,X-Large
AZURE,pro,2,Standard_E8ds_v4,Standard_E8ds_v4,X-Small
GCP,classic,64,n2-highmem-64,n2-highmem-8,2X-Large
GCP,classic,1,n2-highmem-8,n2-highmem-8,2X-Small
GCP,classic,128,n2-highmem-64,n2-highmem-8,3X-Large
GCP,classic,256,n2-highmem-64,n2-highmem-8,4X-Large
GCP,classic,16,n2-highmem-32,n2-highmem-8,Large
GCP,classic,8,n2-highmem-32,n2-highmem-8,Medium
GCP,classic,4,n2-highmem-16,n2-highmem-8,Small
GCP,classic,32,n2-highmem-64,n2-highmem-8,X-Large
GCP,classic,2,n2-highmem-8,n2-highmem-8,X-Small
GCP,pro,64,n2-highmem-64,n2-highmem-8,2X-Large
GCP,pro,1,n2-highmem-8,n2-highmem-8,2X-Small
GCP,pro,128,n2-highmem-64,n2-highmem-8,3X-Large
GCP,pro,256,n2-highmem-64,n2-highmem-8,4X-Large
GCP,pro,16,n2-highmem-32,n2-highmem-8,Large
GCP,pro,8,n2-highmem-32,n2-highmem-8,Medium
GCP,pro,4,n2-highmem-16,n2-highmem-8,Small
GCP,pro,32,n2-highmem-64,n2-highmem-8,X-Large
GCP,pro,2,n2-highmem-8,n2-highmem-8,X-Small
