cloud,sku_region,region_code
AWS,US_EAST_N_VIRGINIA,us-east-1
AWS,US_EAST_OHIO,us-east-2
AWS,US_WEST_OREGON,us-west-2
AWS,US_WEST_CALIFORNIA,us-west-1
AWS,AP_MUMBAI,ap-south-1
AWS,AP_SINGAPORE,ap-southeast-1
AWS,AP_SYDNEY,ap-southeast-2
AWS,AP_TOKYO,ap-northeast-1
AWS,AP_SEOUL,ap-northeast-2
AWS,AP_JAKARTA,ap-southeast-3
AWS,EUROPE_IRELAND,eu-west-1
AWS,EUROPE_FRANKFURT,eu-central-1
AWS,EUROPE_LONDON,eu-west-2
AWS,EUROPE_FRANCE,eu-west-3
AWS,EUROPE_STOCKHOLM,eu-north-1
AWS,CANADA,ca-central-1
AWS,SA_BRAZIL,sa-east-1
AZURE,US_EAST,eastus
AZURE,US_EAST_2,eastus2
AZURE,US_WEST,westus
AZURE,US_WEST_2,westus2
AZURE,US_WEST_3,westus3
AZURE,US_CENTRAL,centralus
AZURE,US_NORTH_CENTRAL,northcentralus
AZURE,US_SOUTH_CENTRAL,southcentralus
AZURE,US_WEST_CENTRAL,westcentralus
AZURE,EU_WEST,westeurope
AZURE,EU_NORTH,northeurope
AZURE,UK_SOUTH,uksouth
AZURE,UK_WEST,ukwest
AZURE,FRANCE_CENTRAL,francecentral
AZURE,GERMANY_WEST_CENTRAL,germanywestcentral
AZURE,SWITZERLAND_NORTH,switzerlandnorth
AZURE,SWITZERLAND_WEST,switzerlandwest
AZURE,SWEDEN_CENTRAL,swedencentral
AZURE,NORWAY_EAST,norwayeast
AZURE,QATAR_CENTRAL,qatarcentral
AZURE,UAE_NORTH,uaenorth
AZURE,ASIA_EAST,eastasia
AZURE,ASIA_SOUTHEAST,southeastasia
AZURE,AUSTRALIA_EAST,australiaeast
AZURE,AUSTRALIA_SOUTHEAST,australiasoutheast
AZURE,AUSTRALIA_CENTRAL,australiacentral
AZURE,AUSTRALIA_CENTRAL_2,australiacentral2
AZURE,JAPAN_EAST,japaneast
AZURE,JAPAN_WEST,japanwest
AZURE,KOREA_CENTRAL,koreacentral
AZURE,INDIA_CENTRAL,centralindia
AZURE,INDIA_SOUTH,southindia
AZURE,INDIA_WEST,westindia
AZURE,BRAZIL_SOUTH,brazilsouth
AZURE,SOUTH_AFRICA_NORTH,southafricanorth
AZURE,MEXICO_CENTRAL,mexicocentral
AZURE,CANADA_CENTRAL,canadacentral
AZURE,CANADA_EAST,canadaeast
GCP,US_IOWA,us-central1
GCP,US_NEVADA,us-west4
GCP,US_SOUTH_CAROLINA,us-east1
GCP,US_OREGON,us-west1
GCP,US_VIRGINIA,us-east4
GCP,US_WEST_CALIFORNIA,us-west2
GCP,EUROPE_BELGIUM,europe-west1
GCP,EUROPE_ENGLAND,europe-west2
GCP,EUROPE_FRANKFURT,europe-west3
GCP,EUROPE_FRANCE,europe-west9
GCP,CANADA_QUEBEC,northamerica-northeast1
GCP,ASIA_SINGAPORE,asia-southeast1
GCP,ASIA_TOKYO,asia-northeast1
GCP,ASIA_SEOUL,asia-northeast3
GCP,AUSTRALIA_SYDNEY,australia-southeast1
GCP,INDIA_MUMBAI,asia-south1
GCP,SA_BRAZIL,southamerica-east1
GCP,ME_DAMMAM,me-central2
